,y,w
Ground Truth,1.0,1.0
Closed Form,0.704550394563562,0.9011100120065522
GD,0.7044512561579129,0.901576472265957
SGD,0.6974988385327184,0.8523638015094468
MBGD,0.7042308122204629,0.8957329317409282
RLS,0.7045211539913728,0.9019423977420812
